image,disease,plant_type,dataset_type
Fungi/IMG_8320.JPG,Fungi,Potato,train
Pest/20230712_124133.jpg,Pest,Potato,train
Bacteria/IMG_1218.JPG,Bacteria,Potato,train
Pest/IMG_20230816_140103.jpg,Pest,Potato,train
Pest/IMG_0609.JPG,Pest,Potato,train
Pest/20230922_163752.jpg,Pest,Potato,train
Fungi/IMG_4759.JPG,Fungi,Potato,train
Phytopthora/20230802_124354.jpg,Phytopthora,Potato,train
Pest/IMG_20230816_142945.jpg,Pest,Potato,train
Virus/20230815_112555.jpg,Virus,Potato,train
Fungi/20230712_123306.jpg,Fungi,Potato,train
Fungi/IMG_9379.JPG,Fungi,Potato,train
Virus/IMG_1106.JPG,Virus,Potato,train
Phytopthora/20230802_124152.jpg,Phytopthora,Potato,train
Fungi/IMG_20230815_122511~2.jpg,Fungi,Potato,train
Virus/20230802_115956.jpg,Virus,Potato,train
Fungi/20230712_123606.jpg,Fungi,Potato,train
Pest/20230922_163659.jpg,Pest,Potato,train
Pest/20230712_124214.jpg,Pest,Potato,train
Virus/IMG_0488.JPG,Virus,Potato,train
Pest/20230712_155226.jpg,Pest,Potato,train
Fungi/20230802_110528056.jpg,Fungi,Potato,train
Pest/IMG_8288.JPG,Pest,Potato,train
Fungi/IMG_0662.JPG,Fungi,Potato,train
Fungi/20230816_091648.jpg,Fungi,Potato,train
Healthy/IMG_8184.JPG,Healthy,Potato,train
Virus/20230815_120750.jpg,Virus,Potato,train
Healthy/20230802_120332778.jpg,Healthy,Potato,train
Virus/IMG_0310.JPG,Virus,Potato,train
Healthy/IMG_4772.JPG,Healthy,Potato,train
Virus/20230815_150456.jpg,Virus,Potato,train
Fungi/IMG_20230816_122345~2 (2).jpg,Fungi,Potato,train
Healthy/20230802_120558111.jpg,Healthy,Potato,train
Fungi/IMG_0278.JPG,Fungi,Potato,train
Pest/1692332762088.jpg,Pest,Potato,train
Phytopthora/IMG_0249 - Copy.JPG,Phytopthora,Potato,train
Bacteria/20230816_135141.jpg,Bacteria,Potato,train
Bacteria/20230816_134548.jpg,Bacteria,Potato,train
Phytopthora/IMG_0375.JPG,Phytopthora,Potato,train
Pest/1692332350400.jpg,Pest,Potato,train
Bacteria/IMG_1036.JPG,Bacteria,Potato,train
Pest/IMG_20230816_140113.jpg,Pest,Potato,train
Phytopthora/IMG_9426 (1).JPG,Phytopthora,Potato,train
Pest/1692333632391.jpg,Pest,Potato,train
Fungi/1692336759176.jpg,Fungi,Potato,train
Fungi/20230712_160046.jpg,Fungi,Potato,train
Pest/IMG_20230816_141704.jpg,Pest,Potato,train
Bacteria/20230815_114748.jpg,Bacteria,Potato,train
Bacteria/20230816_141007.jpg,Bacteria,Potato,train
Phytopthora/IMG_0382.JPG,Phytopthora,Potato,train
Pest/IMG_0191.JPG,Pest,Potato,train
Bacteria/20230816_140947.jpg,Bacteria,Potato,train
Fungi/20230802_111623598.jpg,Fungi,Potato,train
